API Name,Summary
unicode-range,unicode-range allows you to set a specific range of characters to be downloaded from a font (embedded using @font-face) and made available for use on the current page.
user-focus,This is for all the high level UX stuff.
user-input,For inputing user content
vertical-align,The vertical-align property controls how inline elements or text are vertically aligned compared to the baseline. If this property is used on table-cells it controls the vertical alignment of content of the table cell.
visibility,The visibility property specifies whether the boxes generated by an element are rendered.
voice-balance,The voice-balance property sets the apparent position (in stereo sound) of the synthesized voice for spoken media.
voice-duration,"The voice-duration property allows the author to explicitly set the amount of time it should take a speech synthesizer to read an element's content, for example to allow the speech to be synchronized with other media. With a value of auto (the default) the length of time it takes to read the content is determined by the content itself and the voice-rate property."
voice-family,"The voice-family property sets the speaker's voice used by a speech media agent to read an element. The speaker may be specified as a named character (to match a voice option in the speech reading software) or as a generic description of the age and gender of the voice. Similar to the font-family property for visual media, a comma-separated list of fallback options may be given in case the speech reader does not recognize the character name or cannot synthesize the requested combination of generic properties."
voice-pitch,The voice-pitch property sets pitch or tone (high or low) for the synthesized speech when reading an element; the pitch may be specified absolutely or relative to the normal pitch for the voice-family used to read the text.
voice-range,"The voice-range property determines how much variation in pitch or tone will be created by the speech synthesize when reading an element. Emphasized text, grammatical structures and punctuation may all be rendered as changes in pitch, this property determines how strong or obvious those changes are; large ranges are associated with enthusiastic or emotional speech, while small ranges are associated with flat or mechanical speech."
voice-rate,The voice-rate property sets the speed at which the voice synthesized by a speech media agent will read content.
voice-stress,The voice-stress property sets the level of vocal emphasis to be used for synthesized speech reading the element.
voice-volume,The voice-volume property sets the volume for spoken content in speech media. It replaces the deprecated volume property.
white-space,"The white-space property controls whether and how white space inside the element is collapsed, and whether lines may wrap at unforced ""soft wrap"" opportunities."
white-space-treatment,Obsolete: unsupported.
widows,"Defines the minimum number of lines that can appear in the beginning of a new page. In typography, a widow is the last line of a paragraph appearing alone at the top of a page, which is considered to look awkward. Setting the widows property to an integer higher than 1 prevents this.
On a non-paged media, like screen, the widows CSS property has no effect. It can have a number value or it can inherit the values from the parent element."
width,"Specifies the width of the content area of an element. The content area of the element width does not include the padding, border, and margin of the element."
word-break,The word-break property is often used when there is long generated content that is strung together without and spaces or hyphens to beak apart. A common case of this is when there is a long URL that does not have any hyphens. This case could potentially cause the breaking of the layout as it could extend past the parent element.
word-spacing,"The word-spacing CSS property specifies the spacing behavior between ""words""."
word-wrap,"An alias of css/properties/overflow-wrap, word-wrap defines whether to break words when the content exceeds the boundaries of its container."
wrap-flow,Specifies how exclusions affect inline content within block-level elements. Elements lay out their inline content in their content area but wrap around exclusion areas.
wrap-margin,Set the value that is used to offset the inner wrap shape from other shapes. Inline content that intersects a shape with this property will be pushed by this shape's margin.
wrap-option,"Obsolete and unsupported. Do not use.
This CSS property controls the text when it reaches the end of the block in which it is enclosed."
writing-mode,"writing-mode specifies if lines of text are laid out horizontally or vertically, and the direction which lines of text and blocks progress."
z-index,"The z-index property controls the stacking order of elements. As the x-axis defines the horizontal (left-right) position of elements on the screen, and the y-axis defines the vertical (top-down) position, think of the z-axis as the third dimension or depth-of-field, rising “out of” the screen, towards the viewer, or descending “into” the screen, away from the viewer."
